Company,Category,Segment,HQ,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Key_Locations,tier0_score,original_tier,website_url,linkedin_url,has_trigger_news,trigger_news_count,total_contacts,dm_contact_count,best_contact,has_stated_priorities,priority_signals,priority_signal_count,has_it_hiring,it_hiring_summary,final_score,final_tier
Vedanta Aluminium,Steel & Metals,Non Ferrous Metals,Delhi,145000.0,25000.0,1030.0,"Jharsuguda (OD), Lanjigarh (OD), BALCO Korba (CG)",115,A,https://www.vedantaaluminium.com,https://www.linkedin.com/company/vedanta-aluminium,True,2,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,160,A
Mahindra & Mahindra,Auto & Engineering,Auto Oem,Mumbai,140000.0,55000.0,1100.0,"Chakan, Nashik, Igatpuri, Kandivali, Zaheerabad, Haridwar",120,A,https://www.mahindramahindra.com,https://www.linkedin.com/company/mahindra-and-mahindra,True,1,0,0,,True,"digital_transformation,expansion,sustainability",3,False,,154,A
Hindalco Industries,Steel & Metals,Non Ferrous Metals,Mumbai,215000.0,35000.0,1300.0,"Hirakud (OD), Renukoot (UP), Dahej (GJ), Belgaum (KA), Aditya (OD)",120,A,https://www.hindalco.com,https://www.linkedin.com/company/hindalco,True,1,0,0,,True,"digital_transformation,expansion",2,True,"**Hindalco Industries' IT department, led by CTO Vilas Tathavadkar (Aluminium Upstream and Copper), ",151,A
Hindustan Unilever,FMCG & Consumer,Fmcg Foods Personal Care,Mumbai,60000.0,21000.0,2000.0,"Doom Dooma (AS), Silvassa, Haridwar, Pondicherry, Mumbai",115,A,https://www.hindustanunilever.com,https://www.linkedin.com/company/hindustan-unilever,True,1,0,0,,True,"digital_transformation,cost_optimization,sustainability",3,False,,149,A
BPCL,Chemicals & Petrochemicals,Petrochemicals Polymers,Mumbai,550000.0,12000.0,605.0,"Kochi (KL), Mumbai",95,B,https://www.bpcl.com,https://www.linkedin.com/company/bpcl,True,2,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,139,A
HPCL,Chemicals & Petrochemicals,Petrochemicals Polymers,Mumbai,450000.0,10000.0,850.0,"Vizag (AP), Mumbai, Bhatinda",100,B,https://www.hpcl.com,https://www.linkedin.com/company/hpcl,True,1,0,0,,True,"digital_transformation,cost_optimization",2,False,,131,A
Nestle India,FMCG & Consumer,Fmcg Foods Personal Care,Gurugram,19000.0,8500.0,595.0,"Nanjangud (KA), Samalkha (HR), Moga (PB), Tahliwal (HP)",95,B,https://www.nestle.com,https://www.linkedin.com/company/nestle,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,129,A
SAIL,Steel & Metals,Steel Coils,Delhi,110000.0,60000.0,300.0,"Bokaro (JH), Durgapur (WB), Rourkela (OD), Bhilai (CG), Burnpur (WB)",95,B,https://www.sail.com,https://www.linkedin.com/company/sail,True,1,0,0,,True,"digital_transformation,sustainability",2,False,,126,A
Berger Paints,Chemicals & Petrochemicals,Paints Coatings,Kolkata,11000.0,4500.0,308.0,"Rishra (WB), Pondicherry, Hindupur (AP), Jejuri (MH), Goa",90,B,https://www.bergerpaints.com,https://www.linkedin.com/company/berger-paints,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,125,A
