target_account,matched_customer,status
GSFC Ltd,GSFC,FLAGGED - EXISTING CUSTOMER
Reliance Retail (Foods),Reliance Industries Ltd,FLAGGED - EXISTING CUSTOMER
Alang Ship Breaking Assn,AKI,FLAGGED - EXISTING CUSTOMER
Shree Renuka (Wilmar),REE,FLAGGED - EXISTING CUSTOMER
Serum Institute,Serum Institute of India Pvt,FLAGGED - EXISTING CUSTOMER
Louis Dreyfus (Oils),Louis Dreyfus Company Brasil,FLAGGED - EXISTING CUSTOMER
GAIL (Projects),PLR Projects,FLAGGED - EXISTING CUSTOMER
Indigo Paints,P,FLAGGED - EXISTING CUSTOMER
DMart (Foods),Mapro Foods Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Shahi Exports,XP India,FLAGGED - EXISTING CUSTOMER
Godrej Appliances,Indo Appliances ,FLAGGED - EXISTING CUSTOMER
India Pulses & Grains Assn,Linclimited,FLAGGED - EXISTING CUSTOMER
Crompton Greaves,Crompton Greaves Consumer Electricals Limited,FLAGGED - EXISTING CUSTOMER
Panasonic India,Panasonic India Pvt Ltd - End to End TMS,FLAGGED - EXISTING CUSTOMER
Atul Auto,Linclimited,FLAGGED - EXISTING CUSTOMER
Hi-Tech Pipes,Hi-Tech Group,FLAGGED - EXISTING CUSTOMER
Exide Energy Solutions,Exide Industries,FLAGGED - EXISTING CUSTOMER
Ajax Engineering,Jash Engineering Limited,FLAGGED - EXISTING CUSTOMER
OK Play India,Linclimited,FLAGGED - EXISTING CUSTOMER
Optiemus Electronics,Resolute Electronics Pvt,FLAGGED - EXISTING CUSTOMER
Usha International,Sohamma International Pvt,FLAGGED - EXISTING CUSTOMER
Nitin Spinners,P,FLAGGED - EXISTING CUSTOMER
Alkyl Amines,Alkyl Amines Chemical & Pharma Ltd,FLAGGED - EXISTING CUSTOMER
Asian Footwears,ASI Industries Ltd.,FLAGGED - EXISTING CUSTOMER
Motherson Group,Motherson Group,FLAGGED - EXISTING CUSTOMER
Reliance (Chemicals),Reachem Chemicals,FLAGGED - EXISTING CUSTOMER
Dollar Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Chittaranjan Loco Works,Linclimited,FLAGGED - EXISTING CUSTOMER
Isgec Heavy Engineering,Isgec Heavy Others Ltd,FLAGGED - EXISTING CUSTOMER
BEML (Rail),Linclimited,FLAGGED - EXISTING CUSTOMER
Intas Pharma,pharma&,FLAGGED - EXISTING CUSTOMER
Bosch Home,BOS,FLAGGED - EXISTING CUSTOMER
Cairn Oil & Gas,Essar Oil and Gas Exploration and Production Ltd,FLAGGED - EXISTING CUSTOMER
Tata Hitachi,Tata Hitachi Construction Materials Manufacturing,FLAGGED - EXISTING CUSTOMER
DHL Supply Chain,quaternion supply chain solution,FLAGGED - EXISTING CUSTOMER
Rubfila International,ANA International,FLAGGED - EXISTING CUSTOMER
Monte Carlo,Linclimited,FLAGGED - EXISTING CUSTOMER
ArcelorMittal Nippon Steel,ArcelorMittal,FLAGGED - EXISTING CUSTOMER
NMDC Steel,MESCO STEEL,FLAGGED - EXISTING CUSTOMER
JSW Infrastructure,Genus Power infrastructure,FLAGGED - EXISTING CUSTOMER
Uttam Galva Metaliks,Linclimited,FLAGGED - EXISTING CUSTOMER
Campus Activewear,P,FLAGGED - EXISTING CUSTOMER
Suprajit Engineering,AJAX Engineering,FLAGGED - EXISTING CUSTOMER
NTPC Ltd,NTPC LIMITED,FLAGGED - EXISTING CUSTOMER
LT Foods,RCL FOODS,FLAGGED - EXISTING CUSTOMER
Covestro India,Covestro,FLAGGED - EXISTING CUSTOMER
ABB India,F.I.S. - FABBRICA ITALIANA SINTETICI S.p.A.,FLAGGED - EXISTING CUSTOMER
Gujarat Narmada Fertilizers,Gujarat Narmada Valley Fertilizers and Chemical & Pharma Limited (GNFC),FLAGGED - EXISTING CUSTOMER
Triveni Turbine,Eni,FLAGGED - EXISTING CUSTOMER
Rajratan Global Wire,Linclimited,FLAGGED - EXISTING CUSTOMER
Ninjacart,Ninjacart,FLAGGED - EXISTING CUSTOMER
Schreiber Dynamix,Schreiber Dynamix Dairies Ltd,FLAGGED - EXISTING CUSTOMER
Pfizer India,P,FLAGGED - EXISTING CUSTOMER
Corteva Agriscience,Corteva,FLAGGED - EXISTING CUSTOMER
JCB India,JCB INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
Rashmi Metaliks,adhunik metaliks ,FLAGGED - EXISTING CUSTOMER
Sanofi India,Sanofi,FLAGGED - EXISTING CUSTOMER
MRF Ltd,MRF Tyres,FLAGGED - EXISTING CUSTOMER
Tata Consumer (Sampann),TATA CONSUMER PRODUCTS LIMITED - KARNAL,FLAGGED - EXISTING CUSTOMER
Hindustan Copper,Hindustan Motors Limited.,FLAGGED - EXISTING CUSTOMER
Tata Steel (Captive),Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
JSPL (Plates),Ate India,FLAGGED - EXISTING CUSTOMER
JSW Energy,SHV Energy,FLAGGED - EXISTING CUSTOMER
Vikram Solar,Linclimited,FLAGGED - EXISTING CUSTOMER
PCBL (Phillips Carbon),HIL LIMITED,FLAGGED - EXISTING CUSTOMER
NMDC (Steel),MESCO STEEL,FLAGGED - EXISTING CUSTOMER
Bosch Rexroth India,boschrexroth.co.in,FLAGGED - EXISTING CUSTOMER
Rajasthan Minerals,Linclimited,FLAGGED - EXISTING CUSTOMER
Electrosteel,ELECTROSTEEL STEELS LTD,FLAGGED - EXISTING CUSTOMER
Indo Gulf Fertilisers,Linclimited,FLAGGED - EXISTING CUSTOMER
UltraTech Building Products,Ate India,FLAGGED - EXISTING CUSTOMER
Electrosteel Castings,ELECTROSTEEL STEELS LTD,FLAGGED - EXISTING CUSTOMER
Epiroc India,Epiroc,FLAGGED - EXISTING CUSTOMER
JSPL (Sponge),Linclimited,FLAGGED - EXISTING CUSTOMER
Adhunik Metaliks,adhunik metaliks ,FLAGGED - EXISTING CUSTOMER
Sundram Fasteners,GDPA Fasteners,FLAGGED - EXISTING CUSTOMER
Sree Rayalaseema,REE,FLAGGED - EXISTING CUSTOMER
Mahindra Logistics,Sinha logistics,FLAGGED - EXISTING CUSTOMER
Realme India,realme,FLAGGED - EXISTING CUSTOMER
Olam Agri (Oils),Linclimited,FLAGGED - EXISTING CUSTOMER
MTR Foods,VRS Foods Limited,FLAGGED - EXISTING CUSTOMER
SAIL (Pig Iron),Linclimited,FLAGGED - EXISTING CUSTOMER
JSW Steel (Coal),JSW & Bhusan Power Steel,FLAGGED - EXISTING CUSTOMER
Kalamboli Scrap Market,Ark,FLAGGED - EXISTING CUSTOMER
Suguna Foods,Ghanta Foods Private Limited,FLAGGED - EXISTING CUSTOMER
DMRC (Procurement),P,FLAGGED - EXISTING CUSTOMER
Apollo Tyres,Apollo Tyres Ltd,FLAGGED - EXISTING CUSTOMER
Vestas India,Vestas,FLAGGED - EXISTING CUSTOMER
Adani Enterprises (Coal),Adani Enterprises Limited (Adani Group) Cement Division,FLAGGED - EXISTING CUSTOMER
BASF Agri (India),GRI,FLAGGED - EXISTING CUSTOMER
Balaji Amines,Bala Ji Roadlines,FLAGGED - EXISTING CUSTOMER
IOCL (Lubes),UBE,FLAGGED - EXISTING CUSTOMER
Adani Green,REE,FLAGGED - EXISTING CUSTOMER
Chemical Traders,Tradeindia,FLAGGED - EXISTING CUSTOMER
Gujarat Narmada Valley,Gujarat Narmada Valley Fertilizers and Chemical & Pharma Limited (GNFC),FLAGGED - EXISTING CUSTOMER
Novelis India,Linclimited,FLAGGED - EXISTING CUSTOMER
Microns,Micro Inks Ltd,FLAGGED - EXISTING CUSTOMER
Maan Aluminium,Assan Alüminyum,FLAGGED - EXISTING CUSTOMER
Dodla Dairy,Linclimited,FLAGGED - EXISTING CUSTOMER
Precision Wires,PRECISION WIRES INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
Nestle India (Dairy),Linclimited,FLAGGED - EXISTING CUSTOMER
Dalmia Bharat (Mining),Dalmia Cement ( Bharat ) Limited,FLAGGED - EXISTING CUSTOMER
ReNew Power,ReNew,FLAGGED - EXISTING CUSTOMER
Haier India,Haier Appliances - SIM Tracking,FLAGGED - EXISTING CUSTOMER
Mayapuri Scrap Market,Ark,FLAGGED - EXISTING CUSTOMER
L&T Metro Rail,Metro,FLAGGED - EXISTING CUSTOMER
GHCL Ltd,GOCL Corp Ltd,FLAGGED - EXISTING CUSTOMER
Cremica,CREMICA FOOD INDUSTRIES,FLAGGED - EXISTING CUSTOMER
Nava Bharat Ventures,RES,FLAGGED - EXISTING CUSTOMER
Indian Potash Ltd,Indian Potash Ltd,FLAGGED - EXISTING CUSTOMER
Reliance Industries (O&G),Reliance Industries Ltd,FLAGGED - EXISTING CUSTOMER
MOIL Ltd,Mail,FLAGGED - EXISTING CUSTOMER
Carrier Midea,Carrier Midea India Pvt Ltd,FLAGGED - EXISTING CUSTOMER
PepsiCo (Frito-Lay),Linclimited,FLAGGED - EXISTING CUSTOMER
Essar Oil (Nayara),Essar Oil and Gas Exploration and Production Ltd,FLAGGED - EXISTING CUSTOMER
Bhushan Steel (Tata),Bhushan Power & Steel,FLAGGED - EXISTING CUSTOMER
DSM-Firmenich,Firmenich,FLAGGED - EXISTING CUSTOMER
Raipur Re-rollers,Linclimited,FLAGGED - EXISTING CUSTOMER
Marico (Saffola),Marico Limited,FLAGGED - EXISTING CUSTOMER
Gharda Chemicals,REDA Chemicals,FLAGGED - EXISTING CUSTOMER
Thermax,THERMAX,FLAGGED - EXISTING CUSTOMER
Nilkamal Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Dabur (Real Juice),Linclimited,FLAGGED - EXISTING CUSTOMER
Perfetti Van Melle,"TTI,",FLAGGED - EXISTING CUSTOMER
Titagarh Rail,Linclimited,FLAGGED - EXISTING CUSTOMER
Hindustan Foods,Hindustan Motors Limited.,FLAGGED - EXISTING CUSTOMER
JCB India Ltd,JCB INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
CavinKare,Vin Industries,FLAGGED - EXISTING CUSTOMER
Gemini Edibles,Gem,FLAGGED - EXISTING CUSTOMER
Dhanuka Agritech,ECH,FLAGGED - EXISTING CUSTOMER
Rajasthan State Mines,Ate India,FLAGGED - EXISTING CUSTOMER
BHEL (Rail),Linclimited,FLAGGED - EXISTING CUSTOMER
Heritage Foods,Heritage Foods Limited,FLAGGED - EXISTING CUSTOMER
Rallis India (Tata),Linclimited,FLAGGED - EXISTING CUSTOMER
Usha Martin,Usha martin,FLAGGED - EXISTING CUSTOMER
Sandhar Technologies,Zaimah Technologies,FLAGGED - EXISTING CUSTOMER
Gravita India,GRAVITA INDIA LIMITED - FRetron Services,FLAGGED - EXISTING CUSTOMER
BMW India,BMW Industries,FLAGGED - EXISTING CUSTOMER
Daimler India (BharatBenz),Linclimited,FLAGGED - EXISTING CUSTOMER
Yamaha India,Yamaha Motor India,FLAGGED - EXISTING CUSTOMER
MG Motor India,AM MOTORS,FLAGGED - EXISTING CUSTOMER
SAIL (Rail Mill),Linclimited,FLAGGED - EXISTING CUSTOMER
Neyveli Lignite,Linclimited,FLAGGED - EXISTING CUSTOMER
Aavin (TN),Vin Industries,FLAGGED - EXISTING CUSTOMER
Tata Steel (Semis),Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
Century Aluminium,ANRAK ALUMINIUM,FLAGGED - EXISTING CUSTOMER
Prince Pipes,P,FLAGGED - EXISTING CUSTOMER
Mold-Tek Packaging,AGI,FLAGGED - EXISTING CUSTOMER
Gokaldas Exports,XP India,FLAGGED - EXISTING CUSTOMER
Bikaji Foods,Bidada Foods Pvt Ltd,FLAGGED - EXISTING CUSTOMER
NOCIL Ltd,nocilrubberchemicals.com,FLAGGED - EXISTING CUSTOMER
Agarwal Foundries,MS AGARWAL FOUNDRIES,FLAGGED - EXISTING CUSTOMER
Borosil Ltd,Borosil Glass Works,FLAGGED - EXISTING CUSTOMER
Mundra Solar (Adani),Linclimited,FLAGGED - EXISTING CUSTOMER
Delhivery,Otdelivery,FLAGGED - EXISTING CUSTOMER
Siegwerk India,Siegwerk,FLAGGED - EXISTING CUSTOMER
CAF India,NUCAF LOGISTICS SERVICES CO.,FLAGGED - EXISTING CUSTOMER
DCM Shriram (Chemicals),DCM SHRIRAM LIMITED - KOTA,FLAGGED - EXISTING CUSTOMER
Rathi Super Steel,Rathi Steel And Power Limited,FLAGGED - EXISTING CUSTOMER
AGI Greenpac,AGI,FLAGGED - EXISTING CUSTOMER
Container Corporation,CTCI CORPORATION,FLAGGED - EXISTING CUSTOMER
Magicrete Building Solutions,AGI,FLAGGED - EXISTING CUSTOMER
Reliance Battery,Reliance Energy,FLAGGED - EXISTING CUSTOMER
Siemens Gamesa (India),MES,FLAGGED - EXISTING CUSTOMER
Modi Naturals,Modi Naturals,FLAGGED - EXISTING CUSTOMER
Greenply Industries,Greenlam Industries ltd,FLAGGED - EXISTING CUSTOMER
Exide Industries,Exide Industries,FLAGGED - EXISTING CUSTOMER
Ami Organics,Tradin Organic,FLAGGED - EXISTING CUSTOMER
Vindhya Telelinks,Vin Industries,FLAGGED - EXISTING CUSTOMER
Knorr-Bremse India,KNORR BREMSE SYSTEMS FOR COMMERCIAL VEHICLES INDIA PVT. LTD.,FLAGGED - EXISTING CUSTOMER
Jindal Stainless (Flats),Jindal Stainless Jajpur Tracking,FLAGGED - EXISTING CUSTOMER
Reliance New Energy,Reliance Energy,FLAGGED - EXISTING CUSTOMER
Kobelco India,LC,FLAGGED - EXISTING CUSTOMER
Piramal Glass,Linclimited,FLAGGED - EXISTING CUSTOMER
Amara Raja Energy,AMARA RAJA BATTERIES - Shipment Tracking & epod,FLAGGED - EXISTING CUSTOMER
Valiant Organics,ORGANIC INDIA,FLAGGED - EXISTING CUSTOMER
Opto Circuits,Opto Circuits Limited,FLAGGED - EXISTING CUSTOMER
Agarwal Industrial Corp,AJAY INDUSTRIAL,FLAGGED - EXISTING CUSTOMER
Sudal Industries,UAL Industries Ltd,FLAGGED - EXISTING CUSTOMER
Chitale Dairy,Linclimited,FLAGGED - EXISTING CUSTOMER
Amul (Cattle Feed),Linclimited,FLAGGED - EXISTING CUSTOMER
Danieli India,Danieli India Ltd,FLAGGED - EXISTING CUSTOMER
Century Plyboards,CENTURY PLYBOARD INDIA LTD,FLAGGED - EXISTING CUSTOMER
Vedanta (Copper),Vedanta,FLAGGED - EXISTING CUSTOMER
Techint India,ECH,FLAGGED - EXISTING CUSTOMER
DIC India,Indic Inspirations,FLAGGED - EXISTING CUSTOMER
H.B. Fuller India,H.B. Fuller Company,FLAGGED - EXISTING CUSTOMER
DCW Ltd,DCW Limited,FLAGGED - EXISTING CUSTOMER
Britannia (Dairy),BRITANNIA INDUSTRIES LIMITED,FLAGGED - EXISTING CUSTOMER
DCM Shriram (Agri),DCM SHRIRAM LIMITED - KOTA,FLAGGED - EXISTING CUSTOMER
Indo Rama Synthetics,INDO RAMA SYNTHETICS (I-,FLAGGED - EXISTING CUSTOMER
Surya Roshni (Pipes),SURYA Roshni - ETE TMS,FLAGGED - EXISTING CUSTOMER
Big Basket (Private Label),Linclimited,FLAGGED - EXISTING CUSTOMER
Graphite India Ltd,Graphite India,FLAGGED - EXISTING CUSTOMER
Shyam Steel,Shyam Steel Industries Ltd,FLAGGED - EXISTING CUSTOMER
Tata Steel (Tubes),Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
Air Liquide India,Air Liquide,FLAGGED - EXISTING CUSTOMER
Manaksia Aluminium,ANRAK ALUMINIUM,FLAGGED - EXISTING CUSTOMER
AM/NS India (Plates),Ate India,FLAGGED - EXISTING CUSTOMER
Balaji Wafers,Linclimited,FLAGGED - EXISTING CUSTOMER
Sika India,IKEA,FLAGGED - EXISTING CUSTOMER
Freudenberg-NOK,Freudenberg Sealing,FLAGGED - EXISTING CUSTOMER
RR Kabel,Linclimited,FLAGGED - EXISTING CUSTOMER
Phoenix Yule,Linclimited,FLAGGED - EXISTING CUSTOMER
Prataap Snacks,P,FLAGGED - EXISTING CUSTOMER
Vardhman Special Steels,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
INI Farms,INI Farms,FLAGGED - EXISTING CUSTOMER
Kamdhenu Ltd,Kamdhenu Ltd,FLAGGED - EXISTING CUSTOMER
Clean Science,Cie-India,FLAGGED - EXISTING CUSTOMER
CESC Ltd,CESC Limited,FLAGGED - EXISTING CUSTOMER
Khoday India,KHODAY INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
Jagatjit Industries,Jagatjit Industries,FLAGGED - EXISTING CUSTOMER
SEL Manufacturing,ISGO MANUFACTURING,FLAGGED - EXISTING CUSTOMER
Buildtech,IPLTech,FLAGGED - EXISTING CUSTOMER
Gujarat Industries Power,India Power,FLAGGED - EXISTING CUSTOMER
Divis Labs (export),XP India,FLAGGED - EXISTING CUSTOMER
Apar Industries (Cables),Prem Cables,FLAGGED - EXISTING CUSTOMER
Sudarshan Chemical,Sudarshan Chemical Industries,FLAGGED - EXISTING CUSTOMER
Godrej & Boyce,Godrej & Boyce Mfg. Co,FLAGGED - EXISTING CUSTOMER
JSW Steel (Scrap),JSW & Bhusan Power Steel,FLAGGED - EXISTING CUSTOMER
Everest Masala,Everest Industries Limited,FLAGGED - EXISTING CUSTOMER
Goodyear India (Rubber),Goodyear,FLAGGED - EXISTING CUSTOMER
Kaveri Seeds (Grains),rain,FLAGGED - EXISTING CUSTOMER
JVL Agro (Liberty),JVL Agro Industries,FLAGGED - EXISTING CUSTOMER
Furniture Manufacturers,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
AP State Mineral Dev,Ate India,FLAGGED - EXISTING CUSTOMER
Dabur (Foods),Ebro Foods,FLAGGED - EXISTING CUSTOMER
MRPL (Refinery),Linclimited,FLAGGED - EXISTING CUSTOMER
Goyal MG Gases,Linclimited,FLAGGED - EXISTING CUSTOMER
Hindalco (Captive),LC,FLAGGED - EXISTING CUSTOMER
Plastiblends India,Plastiblends India Ltd,FLAGGED - EXISTING CUSTOMER
Motherson Sumi (Wires),RES,FLAGGED - EXISTING CUSTOMER
Cummins India,Valvoline Cummins Ltd,FLAGGED - EXISTING CUSTOMER
Piaggio India,Piaggio Vehicles Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
John Deere India,John Deere,FLAGGED - EXISTING CUSTOMER
Gokul Agro,Gokul Group,FLAGGED - EXISTING CUSTOMER
Gujarat Mineral Corp,Gujarat Mineral Development Corporation Ltd,FLAGGED - EXISTING CUSTOMER
MTR Foods (Orkla),Orkla Foods Česko a Slovensko,FLAGGED - EXISTING CUSTOMER
Verka (Punjab),P,FLAGGED - EXISTING CUSTOMER
Eastern Condiments,Eastern,FLAGGED - EXISTING CUSTOMER
SRMB Steel,Shyam Steel Industries Ltd,FLAGGED - EXISTING CUSTOMER
PSL Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Ratnamani Metals,Ratnamani Metals & Tubes Ltd.,FLAGGED - EXISTING CUSTOMER
Hindustan Unilever (Ice),Linclimited,FLAGGED - EXISTING CUSTOMER
Hindalco (Coal),LC,FLAGGED - EXISTING CUSTOMER
Allana Group,Gallantt Group,FLAGGED - EXISTING CUSTOMER
Poly Medicure,Linclimited,FLAGGED - EXISTING CUSTOMER
AM/NS India (Slabs),Linclimited,FLAGGED - EXISTING CUSTOMER
Gujarat Alkalies (GACL),Gujarat Alkalies And Chemical & Pharma Limited,FLAGGED - EXISTING CUSTOMER
Greaves Cotton (Ampere),Greaves Cotton Limited,FLAGGED - EXISTING CUSTOMER
Parag Milk Foods,Parag Milk Foods,FLAGGED - EXISTING CUSTOMER
National Steel (SSC),NATIONAL STEEL AND AGRO INDUSTRIES - INDORE,FLAGGED - EXISTING CUSTOMER
SFCL (State Farms),Ate India,FLAGGED - EXISTING CUSTOMER
Vishal Mega Mart,EGA,FLAGGED - EXISTING CUSTOMER
Rashtriya Ispat Nigam,RASHTRIYA ISPAT NIGAM LTD - VISHAKHAPATNAM,FLAGGED - EXISTING CUSTOMER
Carlsberg India,Linclimited,FLAGGED - EXISTING CUSTOMER
POSCO India,POSCO,FLAGGED - EXISTING CUSTOMER
Mother Dairy (Dhara),MOTHER DAIRY FRUIT & VEGETABLE,FLAGGED - EXISTING CUSTOMER
Mylan (Viatris),Linclimited,FLAGGED - EXISTING CUSTOMER
Tata Steel (Scrap),Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
Schwing Stetter India,Schwing Stetter India Pvt Ltd - Spot Bidding & Vendor Billing,FLAGGED - EXISTING CUSTOMER
National Oxygen,Linclimited,FLAGGED - EXISTING CUSTOMER
Capital Foods,Chatha Foods,FLAGGED - EXISTING CUSTOMER
Kohinoor Foods,Kohinoor Speciality Foods,FLAGGED - EXISTING CUSTOMER
BPCL (Bitumen),Linclimited,FLAGGED - EXISTING CUSTOMER
Sarda Energy & Minerals,Linclimited,FLAGGED - EXISTING CUSTOMER
Pennar Industries,Pennar Industries Limited,FLAGGED - EXISTING CUSTOMER
Hindustan Unilever (Tea),Linclimited,FLAGGED - EXISTING CUSTOMER
Wilmar India,Adani Wilmar Ltd,FLAGGED - EXISTING CUSTOMER
Sonalika Tractors,Linclimited,FLAGGED - EXISTING CUSTOMER
Inox Wind,INOX INDIA PVT. LTD,FLAGGED - EXISTING CUSTOMER
Sunflag Iron,sunlargeindustries.in,FLAGGED - EXISTING CUSTOMER
Shoe Manufacturers,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Carborundum Universal,Universal,FLAGGED - EXISTING CUSTOMER
BEML Limited,M/s BEML Limited Equipment Division Belavadi Post Mysore 570018.,FLAGGED - EXISTING CUSTOMER
Kalyani Steels,Aarti Steels Private Limited,FLAGGED - EXISTING CUSTOMER
Tilaknagar Industries,NAGA LIMITED,FLAGGED - EXISTING CUSTOMER
Steel Authority (ASP),Linclimited,FLAGGED - EXISTING CUSTOMER
Sunflag Iron & Steel,Arya Iron & Steel Company Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Bekaert India (Mukand),Mukand Limited,FLAGGED - EXISTING CUSTOMER
Volvo CE India,Linclimited,FLAGGED - EXISTING CUSTOMER
Adani Ports,Adani Power Ltd.,FLAGGED - EXISTING CUSTOMER
Sakthi Masala,Linclimited,FLAGGED - EXISTING CUSTOMER
Pix Transmissions,RSB Transmissions India Ltd,FLAGGED - EXISTING CUSTOMER
MSP Steel,MESCO STEEL,FLAGGED - EXISTING CUSTOMER
Ador Welding,Linclimited,FLAGGED - EXISTING CUSTOMER
Saras (Rajasthan),JAS,FLAGGED - EXISTING CUSTOMER
National Mineral Dev,Linclimited,FLAGGED - EXISTING CUSTOMER
JLR India,Linclimited,FLAGGED - EXISTING CUSTOMER
Mohan Meakin,AKI,FLAGGED - EXISTING CUSTOMER
Walchandnagar Industries,LC,FLAGGED - EXISTING CUSTOMER
Hira Ferro Alloys,Hira Ferro Alloys Ltd - India,FLAGGED - EXISTING CUSTOMER
Alstom India,Alstone,FLAGGED - EXISTING CUSTOMER
Birla Carbon,Linclimited,FLAGGED - EXISTING CUSTOMER
DS Group (Catch),P,FLAGGED - EXISTING CUSTOMER
Century Rayon (Birla),Linclimited,FLAGGED - EXISTING CUSTOMER
Nuziveedu Seeds,NUZIVEEDU SEEDS LIMITED - SECUNDERABAD,FLAGGED - EXISTING CUSTOMER
TTK Prestige,TTK Prestige,FLAGGED - EXISTING CUSTOMER
Praxair India (Linde),Linclimited,FLAGGED - EXISTING CUSTOMER
PPG Asian Paints,ASI Industries Ltd.,FLAGGED - EXISTING CUSTOMER
Gates India,Ate India,FLAGGED - EXISTING CUSTOMER
RSMML,Linclimited,FLAGGED - EXISTING CUSTOMER
Hitachi Energy India,Hitachi Energy,FLAGGED - EXISTING CUSTOMER
L&T Heavy Engineering,H T L LTD - GUINDY,FLAGGED - EXISTING CUSTOMER
Prashant Ship Breaking,AKI,FLAGGED - EXISTING CUSTOMER
Marico (Foods),Marico Limited,FLAGGED - EXISTING CUSTOMER
BASF India (Chemicals),Alps Chemicals Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Laurus Labs,Laurus Labs Ltd,FLAGGED - EXISTING CUSTOMER
Praj Industries,Suprajit Others Ltd,FLAGGED - EXISTING CUSTOMER
Rashmi Metaliks (DI),Rashmi Metaliks,FLAGGED - EXISTING CUSTOMER
Uttam Galva Steels,Linclimited,FLAGGED - EXISTING CUSTOMER
Sarda Mines,Sarda Metals,FLAGGED - EXISTING CUSTOMER
Venky's,Venky's (India) Limited,FLAGGED - EXISTING CUSTOMER
Natco Pharma,pharma&,FLAGGED - EXISTING CUSTOMER
Rashtriya Chemicals (RCF),Linclimited,FLAGGED - EXISTING CUSTOMER
SAIL (Wire Rod),Linclimited,FLAGGED - EXISTING CUSTOMER
PG Electroplast,Linclimited,FLAGGED - EXISTING CUSTOMER
Adani Power,India Power,FLAGGED - EXISTING CUSTOMER
Premier Energies,Waaree Energies Ltd,FLAGGED - EXISTING CUSTOMER
Wockhardt Ltd,Wockhardt Ltd.,FLAGGED - EXISTING CUSTOMER
Trivitron Healthcare,Entero Healthcare,FLAGGED - EXISTING CUSTOMER
Asahi India Glass,Asahi India Glass Limited - End to End TMS,FLAGGED - EXISTING CUSTOMER
Escorts Kubota (CE Division),Escorts Limited,FLAGGED - EXISTING CUSTOMER
Bajaj Consumer,Honasa Consumer Pvt Ltd.,FLAGGED - EXISTING CUSTOMER
NHAI (Procurement),P,FLAGGED - EXISTING CUSTOMER
Sahyadri Farms,Farm,FLAGGED - EXISTING CUSTOMER
John Distilleries,Keyaan Distilleries,FLAGGED - EXISTING CUSTOMER
SDLG India,Linclimited,FLAGGED - EXISTING CUSTOMER
Future Supply Chain,quaternion supply chain solution,FLAGGED - EXISTING CUSTOMER
Ammann India,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Epigamia (Drums),P,FLAGGED - EXISTING CUSTOMER
Wirtgen India,WIRTGEN INDIA Pvt. Ltd,FLAGGED - EXISTING CUSTOMER
Venator (Kronos),Venator,FLAGGED - EXISTING CUSTOMER
AVT Natural Products,Natural Biotech Products,FLAGGED - EXISTING CUSTOMER
Tata Metaliks,Linclimited,FLAGGED - EXISTING CUSTOMER
Gulab Oils,Linclimited,FLAGGED - EXISTING CUSTOMER
Mosaic India,Mosaic India Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Aether Industries,Aether Industries,FLAGGED - EXISTING CUSTOMER
RPM India,RPM International Inc.,FLAGGED - EXISTING CUSTOMER
Goodyear India,Good Earth,FLAGGED - EXISTING CUSTOMER
Thomson (SPPL),Linclimited,FLAGGED - EXISTING CUSTOMER
Kamachi Industries,Kamachi Group,FLAGGED - EXISTING CUSTOMER
Greenlam Industries,Greenlam Industries ltd,FLAGGED - EXISTING CUSTOMER
OM Logistics,PH Logistics,FLAGGED - EXISTING CUSTOMER
Udaan,udaan.com,FLAGGED - EXISTING CUSTOMER
AM/NS India (Scrap),P,FLAGGED - EXISTING CUSTOMER
Kaveri Seeds,KAVERISEEDS,FLAGGED - EXISTING CUSTOMER
Epsilon Carbon,Linclimited,FLAGGED - EXISTING CUSTOMER
Sagar Soya,Sagar Asia Private Limited,FLAGGED - EXISTING CUSTOMER
Kamineni Steel,Linclimited,FLAGGED - EXISTING CUSTOMER
CNH (New Holland),Linclimited,FLAGGED - EXISTING CUSTOMER
Strides Pharma,STRIDES PHARMA SCIENCE LIMITED,FLAGGED - EXISTING CUSTOMER
Rathi Steel & Power,Bhushan Power & Steel,FLAGGED - EXISTING CUSTOMER
Sarda Energy,Shera Energy,FLAGGED - EXISTING CUSTOMER
Rungta Mines,Rungta Mines,FLAGGED - EXISTING CUSTOMER
Hitech Plast,HITESH PLASTICS PVT,FLAGGED - EXISTING CUSTOMER
