target_account,matched_customer,status
United Spirits (Diageo),DIAGEO India,FLAGGED - EXISTING CUSTOMER
Singareni Collieries,Linclimited,FLAGGED - EXISTING CUSTOMER
Samsung India,Samsung SDS,FLAGGED - EXISTING CUSTOMER
JSPL (Jindal Steel),Jindal Steel & Power -Mines & Plant Automation,FLAGGED - EXISTING CUSTOMER
Pidilite Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Godawari Power & Ispat,Avon Ispat & Power Limited,FLAGGED - EXISTING CUSTOMER
Mahindra Tractors,RS,FLAGGED - EXISTING CUSTOMER
GMDC,NMDC Limited,FLAGGED - EXISTING CUSTOMER
Havells India,HAVELLS INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
Jindal Stainless,Jindal Stainless Jajpur Tracking,FLAGGED - EXISTING CUSTOMER
Sutlej Textiles,UTL,FLAGGED - EXISTING CUSTOMER
Godrej Agrovet,Godrej Agrovet Limited - Chicken Feeds - SIM Tracking,FLAGGED - EXISTING CUSTOMER
Daikin India,Daikin Airconditioning India Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Hindustan Urvarak,HINDUSTAN URVARAK & RASAYAN LIMITED,FLAGGED - EXISTING CUSTOMER
NHSRCL (Bullet),Linclimited,FLAGGED - EXISTING CUSTOMER
Rain Industries,CRANEBRAINZ CONSULTANTS PVT,FLAGGED - EXISTING CUSTOMER
Escorts Kubota,Escorts Limited,FLAGGED - EXISTING CUSTOMER
Jubilant Ingrevia,Jubilant Ingrevia,FLAGGED - EXISTING CUSTOMER
Deepak Fertilisers,Deep Industries Limited,FLAGGED - EXISTING CUSTOMER
Xiaomi India,xiaomi.com,FLAGGED - EXISTING CUSTOMER
Sumitomo Chemical,Satol Chemicals,FLAGGED - EXISTING CUSTOMER
Hero MotoCorp,Hero MotoCorp Ltd,FLAGGED - EXISTING CUSTOMER
SAIL (Plates/Sections),Ate India,FLAGGED - EXISTING CUSTOMER
Force Motors,Force Motors,FLAGGED - EXISTING CUSTOMER
UFLEX Ltd,Duroflex,FLAGGED - EXISTING CUSTOMER
Welspun Corp,Welspun USA,FLAGGED - EXISTING CUSTOMER
Siemens India,Siemens Energy,FLAGGED - EXISTING CUSTOMER
BASF India,Basf Styrenics P Ltd,FLAGGED - EXISTING CUSTOMER
SAIL (Semis),Linclimited,FLAGGED - EXISTING CUSTOMER
LT Foods (Daawat),Linclimited,FLAGGED - EXISTING CUSTOMER
Indian Railways (COFMOW),Linclimited,FLAGGED - EXISTING CUSTOMER
JSW Steel (Mining),JSW & Bhusan Power Steel,FLAGGED - EXISTING CUSTOMER
KEI Industries,Keimed Pvt Ltd,FLAGGED - EXISTING CUSTOMER
MCL (Mahanadi Coalfields),Linclimited,FLAGGED - EXISTING CUSTOMER
Reliance Industries (Fibres),Reliance Industries Ltd,FLAGGED - EXISTING CUSTOMER
MRF Ltd (Rubber Div),MRF Corp Ltd,FLAGGED - EXISTING CUSTOMER
Ruchi Soya (Patanjali),Linclimited,FLAGGED - EXISTING CUSTOMER
Aurobindo Pharma,Aurobindo Pharma USA Inc,FLAGGED - EXISTING CUSTOMER
Pernod Ricard India,Pernod Ricard India (P) Ltd,FLAGGED - EXISTING CUSTOMER
MRPL,Linclimited,FLAGGED - EXISTING CUSTOMER
P&G India,APP Group,FLAGGED - EXISTING CUSTOMER
Grasim (Birla Cellulose),Aditya Birla Group - Grasim Industries,FLAGGED - EXISTING CUSTOMER
Marico Ltd,Marico Limited,FLAGGED - EXISTING CUSTOMER
JSW Steel (Flats),JSW & Bhusan Power Steel,FLAGGED - EXISTING CUSTOMER
Welspun India,Welspun USA,FLAGGED - EXISTING CUSTOMER
Jindal SAW Ltd,Jindal Saw - Vayudoot,FLAGGED - EXISTING CUSTOMER
Emami Ltd,Emami Paper Mills,FLAGGED - EXISTING CUSTOMER
Apar Industries,Caparo maruti India,FLAGGED - EXISTING CUSTOMER
Zydus Lifesciences,Eris Lifesciences Ltd,FLAGGED - EXISTING CUSTOMER
ITC Ltd (Aashirvaad),ITC Limited,FLAGGED - EXISTING CUSTOMER
Tata Steel (Long Products),Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
Tata Steel (Plates),Ate India,FLAGGED - EXISTING CUSTOMER
KRBL Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Honda 2W,Honda,FLAGGED - EXISTING CUSTOMER
Lupin Ltd,Lupin,FLAGGED - EXISTING CUSTOMER
Kia India,dholakia.foundation,FLAGGED - EXISTING CUSTOMER
Patanjali,Linclimited,FLAGGED - EXISTING CUSTOMER
Voltas Ltd,My Voltas,FLAGGED - EXISTING CUSTOMER
NLC India,LC,FLAGGED - EXISTING CUSTOMER
SAIL (Mining),JRL Mining,FLAGGED - EXISTING CUSTOMER
Eicher Motors (VECV),RS,FLAGGED - EXISTING CUSTOMER
WCL (Western Coalfields),WESTERN COALFIELDS LIMI-,FLAGGED - EXISTING CUSTOMER
BHEL,HMEL,FLAGGED - EXISTING CUSTOMER
AkzoNobel India,Linclimited,FLAGGED - EXISTING CUSTOMER
SECL (South Eastern),Linclimited,FLAGGED - EXISTING CUSTOMER
Henkel India,Enel,FLAGGED - EXISTING CUSTOMER
Nippon Paint India,Nippon Paint Automotive Europe,FLAGGED - EXISTING CUSTOMER
Emami Agrotech,AROMA AGROTECH PRIVATE LIMITED,FLAGGED - EXISTING CUSTOMER
Indo Count Industries,Indo Count Industries - ETE TMS,FLAGGED - EXISTING CUSTOMER
Finolex Cables,Linclimited,FLAGGED - EXISTING CUSTOMER
Essel Mining,Linclimited,FLAGGED - EXISTING CUSTOMER
Himadri Speciality,Linclimited,FLAGGED - EXISTING CUSTOMER
Thermax Ltd,THERMAX,FLAGGED - EXISTING CUSTOMER
Tata Steel Wire Division,Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
Navin Fluorine,Vin Industries,FLAGGED - EXISTING CUSTOMER
Cosmo Films,Cosmo Films Ltd.,FLAGGED - EXISTING CUSTOMER
Jyothy Labs,Jyothy,FLAGGED - EXISTING CUSTOMER
Harrisons Malayalam,Linclimited,FLAGGED - EXISTING CUSTOMER
IMFA (Indian Metals),Linclimited,FLAGGED - EXISTING CUSTOMER
IFB Industries,IFB Appliances,FLAGGED - EXISTING CUSTOMER
Waaree Energies,REE,FLAGGED - EXISTING CUSTOMER
JSPL (Semis),Linclimited,FLAGGED - EXISTING CUSTOMER
JSW Steel (Long),JSW & Bhusan Power Steel,FLAGGED - EXISTING CUSTOMER
Bajaj Electricals,Bajaj Electricals Ltd,FLAGGED - EXISTING CUSTOMER
Dr. Reddy's Labs,Dr Reddys Laboratories Ltd,FLAGGED - EXISTING CUSTOMER
Sharda Cropchem,Sharda Cropchem Ltd,FLAGGED - EXISTING CUSTOMER
Paradeep Phosphates,Deep Industries Limited,FLAGGED - EXISTING CUSTOMER
Amazon India,Gomazon,FLAGGED - EXISTING CUSTOMER
Haldirams,Linclimited,FLAGGED - EXISTING CUSTOMER
Haldiram's,Haldiram's - Fretron TMS,FLAGGED - EXISTING CUSTOMER
Rockman Industries,Proman,FLAGGED - EXISTING CUSTOMER
Dixon Technologies,Zaimah Technologies,FLAGGED - EXISTING CUSTOMER
TVS Motor,TVS Motor Company Ltd,FLAGGED - EXISTING CUSTOMER
CCL (Central Coalfields),Linclimited,FLAGGED - EXISTING CUSTOMER
Bajaj Auto,Bajaj,FLAGGED - EXISTING CUSTOMER
Tata Consumer,Honasa Consumer Pvt Ltd.,FLAGGED - EXISTING CUSTOMER
ONGC Petro,ONGC Petro additions Limited,FLAGGED - EXISTING CUSTOMER
CEAT Specialty,Linclimited,FLAGGED - EXISTING CUSTOMER
Meghmani Organics,ORGANIC INDIA,FLAGGED - EXISTING CUSTOMER
National Fertilizers Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Jindal Aluminium,ANRAK ALUMINIUM,FLAGGED - EXISTING CUSTOMER
Gujarat Mineral Development,Gujarat Mineral Development Corporation Ltd,FLAGGED - EXISTING CUSTOMER
MDH Spices,SPIC Ltd,FLAGGED - EXISTING CUSTOMER
Wipro Consumer,P,FLAGGED - EXISTING CUSTOMER
KRIBHCO,kribhco,FLAGGED - EXISTING CUSTOMER
Aditya Birla Fashion,Aditya Birla Group (N),FLAGGED - EXISTING CUSTOMER
Mercedes-Benz India,Mercedes-Benz Canada,FLAGGED - EXISTING CUSTOMER
Vardhman Textiles,SANATHAN TEXTILES LIMITED,FLAGGED - EXISTING CUSTOMER
Whirlpool India,Linclimited,FLAGGED - EXISTING CUSTOMER
ECL (Eastern Coalfields),WESTERN COALFIELDS LIMI-,FLAGGED - EXISTING CUSTOMER
DCM Shriram,DCM SHRIRAM LIMITED - KOTA,FLAGGED - EXISTING CUSTOMER
Blue Star Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Olam India,Linclimited,FLAGGED - EXISTING CUSTOMER
Jindal SAW,Jindal Saw - Vayudoot,FLAGGED - EXISTING CUSTOMER
Rashtriya Chemicals,Eastar Chemical,FLAGGED - EXISTING CUSTOMER
Colgate-Palmolive,Ate India,FLAGGED - EXISTING CUSTOMER
Aarti Industries,Aarti Steel International Limited,FLAGGED - EXISTING CUSTOMER
Deepak Nitrite,Deep Industries Limited,FLAGGED - EXISTING CUSTOMER
Endurance Technologies,SPACO TECHNOLOGIES,FLAGGED - EXISTING CUSTOMER
HMEL (HPCL-Mittal),HP Inc.,FLAGGED - EXISTING CUSTOMER
CPCL,SCPL,FLAGGED - EXISTING CUSTOMER
Ola Electric,C&S Electric,FLAGGED - EXISTING CUSTOMER
JSPL (TMT),Linclimited,FLAGGED - EXISTING CUSTOMER
Reliance Retail,Spencer Retail,FLAGGED - EXISTING CUSTOMER
Reliance Industries Retail (Polymer Dist),Reliance Industries Ltd,FLAGGED - EXISTING CUSTOMER
NCL (Northern Coalfields),Northern Coalfields Limited,FLAGGED - EXISTING CUSTOMER
UltraTech (Mining),UltraTech Cement,FLAGGED - EXISTING CUSTOMER
Volvo-Eicher,Linclimited,FLAGGED - EXISTING CUSTOMER
Hindalco (Mining),LC,FLAGGED - EXISTING CUSTOMER
Tata Projects,SANMARG Projects,FLAGGED - EXISTING CUSTOMER
Tata Chemicals,Alps Chemicals Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Sterlite Technologies,Eternity Technologies,FLAGGED - EXISTING CUSTOMER
Essel Mining (Aditya Birla),Aditya Birla Group (N),FLAGGED - EXISTING CUSTOMER
BPCL (Projects),PLR Projects,FLAGGED - EXISTING CUSTOMER
Shyam Metalics,Rashmi Metaliks,FLAGGED - EXISTING CUSTOMER
Birla Opus (Grasim),Aditya Birla Group - Grasim Industries,FLAGGED - EXISTING CUSTOMER
Tata Consumer Products,Global Consumer Products Private Limited,FLAGGED - EXISTING CUSTOMER
Royal Enfield,Linclimited,FLAGGED - EXISTING CUSTOMER
ABD (Allied Blenders),Allied Blenders & Distillers Pvt. Ltd. - ETE TMS,FLAGGED - EXISTING CUSTOMER
Hatsun Agro,ATS,FLAGGED - EXISTING CUSTOMER
IOCL (Projects),Hitech Projects Pvt,FLAGGED - EXISTING CUSTOMER
Alkem Labs,Linclimited,FLAGGED - EXISTING CUSTOMER
Mankind Pharma,Gland Pharma Ltd,FLAGGED - EXISTING CUSTOMER
Ambuja Cement (Mining),Ambuja Cement,FLAGGED - EXISTING CUSTOMER
Varun Beverages,Vivala beverages,FLAGGED - EXISTING CUSTOMER
Honda Cars India,RS,FLAGGED - EXISTING CUSTOMER
HPCL (Projects),Hitech Projects Pvt,FLAGGED - EXISTING CUSTOMER
Suzlon Energy,Suzlon Energy Limited,FLAGGED - EXISTING CUSTOMER
Parle Agro,Parakh Agro,FLAGGED - EXISTING CUSTOMER
Skoda Auto VW,SKODA AUTO Volkswagen India Private Limited,FLAGGED - EXISTING CUSTOMER
Karnataka Milk Federation,Karnataka Co-Operative Milk Producers Federation Ltd(Nandini),FLAGGED - EXISTING CUSTOMER
Imports (Port Delivery),Linclimited,FLAGGED - EXISTING CUSTOMER
NMDC,NMDC Limited,FLAGGED - EXISTING CUSTOMER
KEC International,ANA International,FLAGGED - EXISTING CUSTOMER
